Meaning,,Jurchen,,,,,,Manchu,,,,,,Xibe,,,,,,Hezhe,,,,,,Kur-Urmì,,,,,,Bikin Nanai,,,,,,Najkhin Nanai,,,,,,Ulch,,,,,,Orok,,,,,,Udihe,,,,,,Oroch,,,,,,Solon,,,,,,Oroqen,,,,,,Khamnigan Evenki,,,,,,Stony Tunguska Evenki (Southern),,,,,,"Strelka-Chunya Evenki (Krasnoyarsk krai, Evenki municipal district; Southern)",,,,,,"Tutonchany Evenki (Krasnoyarsk krai, Evenki municipal district; Northern)",,,,,,"Chiringda Evenki (Krasnoyarsk krai, Evenki municipal district; Northern)",,,,,,"Teteya Evenki (Irkutsk oblast, Katangskiy district; Northern)",,,,,,Negidal,,,,,,Even,,,,,
,root,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basìc orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References
1SG pronoun,bi (min-),bi (min-),bi (min-),bi (min-),,direct (oblique),Kane 1989: 270,bi (min-),bi (min-),bji (mjin-),,direct (oblique),"Norman 1978: 29, 198",bi (min-),bi (min-),bi (min),,direct (oblique),Li 1986: 67,bi (min-),bi (min-),pi (min-),,direct (oblique),Zhang et al. 1989: 37,mi (min-),mi (min-),mji (mjin-),,direct (oblique),Sunik 1958: 84,b'i (m'in-),bi (min-),bji (mjin-),,direct (oblique),Sem 1976: 142,mi (min- ~ mimbi-),mi (min- ~ mimbi-),mji (mjin- ~ mjimbi-),,direct (oblique ~ accusative),Avrorin 1959: 250,bi (min-),bi (min-),bji (mjin-),,direct (oblique),Sunik 1985: 176,bii (min-),biː (min-),biː (min-),,direct (oblique),Ikegami 1997: 20,bi (min(ə)-),bi (min(ə)-),bji (min(ə)-),,direct (oblique),"Girfanova 2001: 52, 53",bi (min-),bi (min-),bji (mjin-),,direct (oblique),Lebedeva 1997: 221,bi (min-),bi (min-),bi (min-),,,"Dorji 1998: 71, 143",bii (min-),biː (min-),biː (min-),,,Hu 1986: 89,bii,biː,biː,,,Tsumagari 1992: 94,bi (min-),bi (min-),bɨ (mɨn-),,direct (oblique),Vasilevich 1958: 53,,biː,biː,,,,,biː,biː,,,,,bi,bi,,,,,biː,biː,,,,bi (min-),bi (min-),bi (min-),,,Cincius 1982: 197,bī (min-),biː (min-),biː (min-),,direct (oblique),Novikova 1980: 162
name (n.),gəbu,gebu,gəbu,gəbu,,,Kane 1989: 356,gebu,gəbu,gəbu,repute; fame,,Norman 1978: 102,gəv,gəv,gɘv,,,Li 1986: 155,gərbi,gərbi,kərpi,,,An 1986: 96,gèrbi-,gərbi-,gərbji-,,,Sunik 1958: 116,gèrb'i,gərbi,gərbji,,< Ud. / Evk. ?,Sem 1976: 150,gèrbu,gərbu,gərbwu,,,Onenko 1980: 128,gèlbu,gəlbu,gəlbu,,,Sunik 1985: 187,gəlbu,gəlbu,gəl̥bu,,,Ikegami 1997: 67,gəgbi,gəgbi,gəgbji,,,Girfanova 2001: 94,gèbbi,gəbbi,gəbːi,,,"Avrorin, Lebedeva 1978: 175",gebbi,gəbbi,gəbːi,,,Dorji 1998: 205,gərbi,gərbi,gərbi,,,Hu 1986: 199,gərbii,gərbiː,gərbiː,,,Tsumagari 1992: 96,gèrbī,gərbiː,gərbɨː,,,Vasilevich 1958: 100,,gərbiː,gərbiː,,,,,gərbiː,gərbiː,,,,,gərbiː,gərbiː,,,,,gərbiː,gərbiː,,,,gèlbi,gəlbi,gəlbi,,,Cincius 1982: 206,gèrbă,gerbe,gerbe,,,Novikova 1980: 168
louse (n.),kuməkə,,,,,,,,,,,,,,,,,,,kuməkə,kuməkə,qhuməkhə,,,Zhang et al. 1989: 133,kuŋkè,kuŋkə,kuŋkə,,,Sunik 1958: 179,,,,,,,,,,,,,,,,,,,,,,,,,kumugə,kumugə,kumuɣə,,,Girfanova 2001: 180,kumè,kumə,kumə,,,"Avrorin, Lebedeva 1978: 198",hungke,huŋkə,xuŋkə,,,Dorji 1998: 304,kumkə,kumkə,kumkə,,,Hu 1986: 193,kumkəə,kumkəː,kumkəː,,,Tsumagari 1992: 95,kumkè,kumkə,kʉmkə,,,Vasilevich 1958: 219,,kumkɒː,kumkɒː,,,,,,,,,,,kumko:,kumko:,,,,,kumkɒː,kumkɒː,,,,kumkè,kumkə,kumkə,,,Cincius 1982: 235,kumkè,kumke,kumke,,,Novikova 1980: 186
,tihə,tihe,tihə,tixə,,,Kane 1989: 229,cihe,čihə,ʧixə,,,Norman 1978: 44,ʨixə,čixə,ʨiɣɘ,,,Li 1986: 146,,,,,,,,,,,,,čiktè,čiktə,ʧiktə,,,Sem 1976: 176,čīktè,čiːktə,ʧiːktə,,,Onenko 1980: 503,tiḳtè,tiqtə,tiqtə,,,Sunik 1985: 240,čiktə,čiktə,ʧiktə,,,Ikegami 1997: 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wing (n.),dəhsə,,,,,,,,,,,,,,,,,,,dəxsə,dəhsə,təxsə,,,An 1986: 90,dèktènè,dəktənə,dəktənə,,,Sunik 1958: 172,,,,,,,,,,,,,,,,,,,,,,,,,daktehœ,daktä,daktæ,feather,,Girfanova 2001: 102,dèktisè,dəktisə,dəktisə,,,"Avrorin, Lebedeva 1978: 180",,,,,,,,,,,,,dəktiləə,dəktiləː,dəktiləː,,,Tsumagari 1992: 101,dèktylè̄,dəktyləː,dəktɨləː,,,Vasilevich 1958: 133,,,,,,,,dəktəndə,dəktəndə,feather,,,,dəktəndə,dəktəndə,,,,,,,,,,,,,,,,dè̄tlè,deːtle,deːtle,,,Novikova 1980: 172
,dəgdə-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dègdè-cè,dəgdə-cə,dəgdə-ʦə,feather; broom,cf. feather; dəgdə-cə to fly-SUF,Sem 1976: 154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,asha,,,,,,,asha,asha,asχa,anything worn hanging from the belt; piece of iron placed on the back of armor,,Norman 1978: 20,asχ,ash,ɑsx,,,Li 1986: 146,,,,,,,hasar,hasar,χasar,,,Sunik 1958: 200,ḥasara,hasara,χasara,fishing place,,Sem 1976: 201,hasar,hasar,χasar,wheel,,Onenko 1980: 457,ḥasal(í),χasal(e),χasal(e),,,Sunik 1985: 250,xasa,hasa,χɑsɑ,,,Ikegami 1997: 232,,,,,,,,,,,,,,,,,,,aʃakɪɪ,ašakeː,ahaxeː,,,Hu 1986: 193,,,,,,,asakī,asakiː,asakiː,,,Vasilevich 1958: 37,,asakiː,asakiː,,,,,,,,,,,,,,,,,,,,,,asahī,asahiː,asaxiː,,,Cincius 1982: 193,asíḳí,asiki,aˁsiˁkiˁ,,,Novikova 1980: 159
,dawe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dawē,dawe,dawe,,,Dorji 1998: 115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ləpərɒ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ləpərɒ,ləpərɒ,feather,,,,,,,,,,,,,,
meat (n.),ulsə,,,,,,,,,,,,,,,,,,,ulsə,ulsə,uɬzə,,,Zhang et al. 1989: 100,ulè,ulə,ulə,,,Sunik 1958: 196,ulèksè,uləksə,uləksə,,,Sem 1976: 193,uliksè,uliksə,uliksə,,,Onenko 1980: 429,ulsè,ulsə,ulsə,,,Sunik 1985: 245,ulisə,ulisə,uliʃə,,,Ikegami 1997: 219,uləhə,ulə,ulə,,,Girfanova 2001: 318,uktè,uktə,uktə,,,"Avrorin, Lebedeva 1978: 240",ulde,uldə,uldə,,,Dorji 1998: 728,ulə,ulə,ulə,,,Hu 1986: 197,uldə,uldə,uldə,flesh,,Tsumagari 1992: 93,ullè,ullə,ʉlːə,,,Vasilevich 1958: 439,,ullə,ullɵ,,,,,uldə,uldə,,,,,"uldə
","uldə
",,,,,ullə,ullə,,,,ulè,ulə,ulə,,,Cincius 1982: 284,ulră,ulre,ulre,,,Novikova 1980: 216
,jali,yali,jali,jali,,,Kane 1989: 321,yali,jali,jalji,,,Norman 1978: 312,jəlj,jəli,jɘli,,,Li 1986: 152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arm / hand (n.),gala,gala,gala,gala,,,Kane 1989: 315,gala,gala,ɢala,,,Norman 1978: 100,gal,gal,gɑl,,,Li 1986: 148,nala,nala,nala,,hand,Zhang et al. 1989: 130,ŋala ~ nala,ŋala ~ nala,ŋala ~ nala,,,Sunik 1958: 185,nana,nana,nana,,,Sem 1976: 175,ngāla,ŋaːla,ɴaːla,,,Onenko 1980: 284,ňāla,ŋaːla,ŋaːla,,,Sunik 1985: 220,ŋaala ~ ŋaali,ŋaːla ~ ŋaːli,ŋɑːlɑ ~ ŋɑːli,,,Ikegami 1997: 142,ŋala,ŋala,ŋala,,,Girfanova 2001: 234,ňāla,ŋaːla,ŋaːla,,,"Avrorin, Lebedeva 1978: 212",naal,naːl,naːl,,,Dorji 1998: 467,ŋaala,ŋaːla,ŋaːla,,,Hu 1986: 194,naala,naːla,naːla,,,Tsumagari 1992: 93,ngālè,ŋaːlə,ŋaːlə,,,Vasilevich 1958: 278,,ŋaːlə,ŋaːlə,,,,,ŋaːla,ŋaːlɒ,,,,,ŋalə,ŋalə,,,,,ŋaːlə,ŋaːlə,,,,ňala ~ ňāla,ŋala ~ ŋaːla,ŋala ~ ŋaːla,,,Cincius 1982: 252,ŋál,ŋaːl,ŋaˁːɫ,,,Novikova 1980: 202
,majən,,,,,,,,,,,,,,,,,,,majən,majən,majən,,arm,Zhang et al. 1989: 121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly (n.),dərhuə,derhue,dərhuə,dərxuə,,,Kane 1989: 230,derhuwe,dərhuwə,dərxuwə,,,Norman 1978: 59,durvo,durvo,durvo,,,Li 1986: 146,ʥinkun,ʤinkun,ʧinkhʊn,,,An 1986: 90,ʒilèkun,ʤiləkun,ʤiləkun,,,Sunik 1958: 174,g'iluktè ~ g'iluhtè / d'iluktè ~ d'il'uhtè,giluktə ~ giluhtə / diluktə ~ diluhtə,gjiluktə ~ gjiluxtə / djiluktə ~ djiluxtə,,,"Sem 1976: 147, 152",diluèktè,ʤiluəktə,ʤilwuəktə,,,Onenko 1980: 154,gīluḳtu ~ gīlèḳtè,giːluqtu ~ giːləqtə,giːluqtu ~ giːləqtə,,,Sunik 1985: 183,ǰiiluwə ~ ǰiilɵɵ,ʤiːluwə ~ ʤiːlọː,ʤiːluwə ~ ʤiːlɵː,,,Ikegami 1997: 88,,,,,,,giluvè ~ giluɣè,giluwə ~ giluɣə,gjiluwə ~ gjiluɣə,,,"Avrorin, Lebedeva 1978: 173",gilhvng,gilhọŋ,gilxoŋ,,,Dorji 1998: 220,dilkəəʧəən,dilkəːčəːn,dilkɐːʧɐːn,,< *dilkəː-SUF (?),Hu 1986: 193,,,,,,,gilkè / dèlkè̄n,gilkə / dəlkəːn,gɨlkə / dəlkəːn,,,"Vasilevich 1958: 87, 135",,,,,,,,,,,,,,,,,,,,dɨlkɒn,dɨlkɒn,,,,dirkạ̄n ~ dirkè̄n,dirkọːn ~ dirkəːn,dirkɵːn ~ dirkəːn,,,Cincius 1982: 210,dilikèn ~ dilkèn ~ dilkèčèn,diliken ~ dilken ~ dilkečen,diliken ~ dilken ~ dilkeʧen,,,Novikova 1980: 169
,gobˀo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,goboˀ,gobˀo,gobo̰,,,Girfanova 2001: 87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hunmikta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,? ujmikəəktə,? ujmikəːktə,? ujmikəːktə,,not sure; maybe midge,Tsumagari 1992: 93,,,,,,,,hunmikta,hunmikta,,midge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
night (n.),dobori,dobori,dobori,dobori,,,Kane 1989: 188,dobon,dobon,dobon,,,Norman 1978: 60,dœvirj,döviri,dœviri,,,Li 1986: 145,dɔlbu,dolbu,tɔɬpu,,,Zhang et al. 1989: 111,dolbo,dolbo,dolbo,,,Sunik 1958: 171,dolbo,dolbo,dolbo,,,Sem 1976: 153,dolbo,dolbo,dwolbwo,,,Onenko 1980: 158,dolbo,dolbo,dolbo,,,Sunik 1985: 190,dolbo-ni,dolbo-ni,dɔl̥bɔni,,at.night-P.3SG (possessive marker),Ikegami 1997: 47,dogbo,dogbo,dogbo,,,Girfanova 2001: 110,dobbo,dobbo,dɔbːɔ,,,"Avrorin, Lebedeva 1978: 178",dɵlbɵn,dͻlbͻn,dͻlbͻn,,,Dorji 1998: 133,dɔlbɔ,dɔlbɔ,dɔlbɔ,,at night,Hu 1986: 192,dolbo,dolbo,dolbo,,,Tsumagari 1992: 96,dolbo-nī,dolbo-niː,dolboniː,,night-P.3SG,Vasilevich 1958: 120,,dolbońiː,dolboɲiː,,,,,dolbo,dolbo,,adverb (at night),,,dolbomi,dolbomi,,,,,dolbo,dolbo,,at night,,dolbon ~ dolbo-nī,dolbon ~ dolbo-niː,dolbon ~ dolboniː,,night-P.3SG,Cincius 1982: 211,dolbắ,dọlba,doˁlbaˁ,,,Novikova 1980: 170
ear (n.),šan,šan,šan,ʃan,,,Kane 1989: 314,šan,šan,ʃan,rowlock; handle; shoehorn,,Norman 1978: 257,san,san,sɑn,,,Li 1986: 148,ɕian,čian,ɕiɛn,,,Zhang et al. 1989: 126,s'an ~ sean,s'an ~ sean,sjan ~ sjean,,,Sunik 1958: 188,s'ǣ(n),säː(n),sjæː(n),,,Sem 1976: 181,sian,sean,sean,,,Onenko 1980: 357,sē(n),seː(n),seː(n),,,Sunik 1985: 230,seen,seːn,sɛːn,,,Ikegami 1997: 176,,,,,,,sæ(n),säː(n),sjæ(n),,,"Avrorin, Lebedeva 1978: 222",sēēng,šeːŋ,ʃe̞ːŋ,,,Dorji 1998: 599,ʃᴇᴇn,šeːn,ʃeːn,,,Hu 1986: 194,siin,siːn,ʃɪːn,,,Tsumagari 1992: 92,sēn,seːn,seːn,,,Vasilevich 1958: 347,,śen,śen,,,,,heːn,heːn,,,,,heːn,heːn,,,,,heń,heɲ,,,,sēn,seːn,sɛːn,hearing,,Cincius 1982: 265,,,,,,
,kuˀai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kuˀai,kuˀai,kua̰i,kind of marine plant; polypore,,Girfanova 2001: 176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ḳorắt,kọrat,qoˁraˁt,,,Novikova 1980: 185
neck (n.),məifən,,,,,,,meifen,məifən,məifən,,,Norman 1978: 15,mivin,mivin,mivin,,,Li 1986: 148,məifən,məifən,məifən,,,Zhang et al. 1989: 134,moŋon,moŋon,moŋon,,,Sunik 1958: 182,moŋo(n),moŋo(n),moŋo(n),,,Sem 1976: 173,mongon,moŋon,mwoɴwon,neckband,,Onenko 1980: 267,moňgo(n),moŋgo(n),moŋgo(n),,,Sunik 1985: 214,moŋo(n),moŋo(n),mɔŋɔ(n),,,Ikegami 1997: 124,myɵ,mö,mø,neckband,,Girfanova 2001: 206,moŋo,moŋo,mɔŋɔ,,,Schmidt 1928: 46,,,,,,,,,,,,,,,,,,,,,,,,,,moŋon,moŋon,,,,,moŋoːn,moŋoːn,throat,,,,,,,,,,,,,,,moňon,moŋon,moŋɣon,collar,,Cincius 1982: 243,,,,,,
,bilha,,,,,,,,,,,,,bilχa,bilha,bilxɑ,throat,,Li 1986: 148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,koǰi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,koǰi (N),/kɔ.ɟi/,,,Czerwinski's fielddata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,niham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,niham,niham,nɪxam,,,Dorji 1998: 487,nɪkɪmna,nekemna,nexemna,,,Hu 1986: 194,nikinma,nikinma,ɲɪkɪnma,,,Tsumagari 1992: 96,nikimna,nikimna,nikimna,,,Vasilevich 1958: 291,,,,,,,,,,,,,,ńikimńa,ɲikimɲa,,,,,ńikimna,ɲikimna,,,,,,,,,,n'íḳắn,ńikan,ɲiˁqaˁn,,back of a neck,Novikova 1980: 200
far,goro,goro,goro,goro,,,Kane 1989: 166,goro,goro,ɢoro,,,Norman 1978: 112,ɢorw,ɢoro,ɢoro,,,Li 1986: 162,goro,goro,koro,,,An 1986: 101,goro,goro,ɢoro,for a long time,,Sunik 1958: 169,ǧoro,goro,ɢoro,for a long time,,Sem 1976: 148,goro,goro,ɢworwo,for a long time,,Onenko 1980: 115,goro,goro,goro,,,Sunik 1985: 185,goro,goro,ɢɔrɔ,,,Ikegami 1997: 72,gō,goː,goː,for a long time,,Girfanova 2001: 87,gō,goː,goː,for a long time,,"Avrorin, Lebedeva 1978: 174",gɵrɵ,gͻrͻ,gͻrͻ,,,Dorji 1998: 228,gɔrɔ,gɔrɔ,gɔrɔ,,,Hu 1986: 205,goro,goro,goro,,,Tsumagari 1992: 91,goro,goro,goro,for a long time,,Vasilevich 1958: 92,,goroloː,goroloː,'long ago',,,,goroloː,goroloː,,far-LOCALL,,,goroloː,goroloː,,far-LOCALL,,,,,,,,goǰo,gojo,gojo,for a long time,,Cincius 1982: 205,gor ~ gorú,gọr ~ gọru,goˁr ~ goˁruˁ,for a long time,,Novikova 1980: 167
,tege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tèɣè,tege,teɣe,,,Novikova 1980: 214
do (make) (v.),ou-,,,,,,,,,,,,,,,,,,,ɔu-,ou-,ɔu-,,,"Zhang et al. 1989: 126, 133",,,,,,,o-,o-,o-,,"to do, aux.",Sem 1976: 177,,,,,,,,,,,,,,,,,,,ō-,oː-,oː-,,,Girfanova 2001: 239,ō-,oː-,ɔː-,,,"Avrorin, Lebedeva 1978: 214",ɵɵ-,ͻː-,ͻː-,,,Dorji 1998: 510,ɔɔ-,ɔː-,ʊɔː-,,,Hu 1986: 200,oo-,oː-,oː-,,,Tsumagari 1992: 91,ō-,oː-,oː-,,,Vasilevich 1958: 312,,o-,o-,,,,,oː,oː,,,,,o-,o-,,,,,oː-,oː-,,,,ō-,oː-,oː-,,both to do and to make,Cincius 1982: 254,ō-,ọː-,oˁː-,,,Novikova 1980: 205
,ta-,,,,,,,,,,,,,,,,,,,,,,,,,ta-,ta-,ta-,,"to do, aux",Sunik 1958: 192,,,,,,,ta-,ta-,ta-,,"do, act, aux. verb",Onenko 1980: 388,ta-,ta-,ta-,,to do,Sunik 1985: 238,to-,to-,tɔ-,,to do,Ikegami 1997: 206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aŋgo-,,,,,,,,,,,,,,,,,,,,,,,,,aŋgo-,aŋgo-,aŋɢo-,,"to make, to create",Sunik 1958: 164,aŋǧo-,aŋgo-,aŋɢo-,,to make,Sem 1976: 138,ango-,aŋo-,aɴwo-,,"make, create",Onenko 1980: 41,anǯú-,anʤo-,anʤo-,,to make,Sunik 1985: 173,andu-,andu-,ɑndu-,,make,Ikegami 1997: 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ara- ,ara- ,ara- ,ara- ,,ara- - make,Kane 1989: 242,ara-,ara-,ara-,,ara - make,Norman 1978: 19,arə-,arə-,ɑrɘ-,,,Li 1986: 157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house (n.),ʤo,,,,,,,,,,,,,,,,,,,ʥɔ,ʤo,ʨo,,,Zhang et al. 1989: 131,ʒō,ʤoː,ʤoː,,,Sunik 1958: 174,ʒō ~ ʒōǧ,ʣoː ~ ʣoːg,ʣoː ~ ʣoːg,,,Sem 1976: 156,dё̄(g)-,ʤoː(g)-,ʤwoː(g)-,,,Onenko 1980: 146,,,,,,,duxu (dug-),duhu (dug-),duxu (dug-),,direct (oblique),Ikegami 1997: 53,зugdi,ʤugdi,ʣugdi,,,Girfanova 2001: 140,ǯú̄(g) ~ ǯúbba,ʤụː(g) ~ ʤụbba,ʤoː(g) ~ ʤobːa,,,"Avrorin, Lebedeva 1978: 184",ju,ʤu,ʤu,,,Dorji 1998: 385,ʤuu,ʤuː,ʤuː,,,Hu 1986: 196,zuug,ʣuːg,ʣʊːg,,,Tsumagari 1992: 94,dû̄,ʤuː,ʤuː,,,Vasilevich 1958: 138,,,,,,,,ďuː,ďuː,,,,,ďukčaː / ďu,ďukt͡ʃaː / ďu,,,,,ďuː,ďuː,,Evenki traditional house (tent),,ǯō,ʤoː,ʤoː,,,Cincius 1982: 216,ǯú̄,ʤuː,ʤuː,,,Novikova 1980: 175
,hagdu(n),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hagdú(n),hagdu(n),xagdu(n),,,Sunik 1985: 248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bo,bo,bo,bo,,,Kane 1989: 240,boo,boː,boː,family,,Norman 1978: 34,bo,bo,bo,family,,Li 1986: 151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,gulə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gulə,gulə,,wooden house of the Russian type,,,,,,,,,,,,,,,guːlə,guːlə,,wooden house of the Russian type,,,,,,,,,,,,,
stone (rock) (n.),ʤolo,,,,,,,,,,,,,,,,,,,ʥɔlɔ ~ ʥolu,ʤolo ~ ʤolu,ʨɔlo ~ ʨɔlu,,,Zhang et al. 1989: 139 / An 1986: 87,ʒolo,ʤolo,ʤolo,,,Sunik 1958: 174,ʒolo,ʣolo,ʣolo,,,Sem 1976: 156,dёlo,ʤolo,ʤwolwo,,,Onenko 1980: 148,ǯolo,ʤolo,ʤolo,,,Sunik 1985: 195,ǰolo,ʤolo,ʤɔlɔ,,,Ikegami 1997: 91,зolo,ʤolo,ʣolo,,,Girfanova 2001: 137,ǯolo,ʤolo,ʤɔlɔ,,,"Avrorin, Lebedeva 1978: 183",jɵl,ʤͻl,ʤͻl,,,Dorji 1998: 377,ʤɔlɔ,ʤɔlɔ,ʤɔlɔ,,,Hu 1986: 190,zolo,ʣolo,ʣolo,,,Tsumagari 1992: 99,dёlo,ʤolo,ʤolo,,dёlo - big stone,Vasilevich 1958: 113,,ďolo,ďolo,,,,,,,,,,,,,,,,,ďolo,ďolo,,,,ǯolo,ʤolo,ʤolo,,,Cincius 1982: 217,ǯol,ʤọl,ʤoˁl,,,Novikova 1980: 173
,uhə,uhe,uhə,uxə,,,Kane 1989: 161,wehe,wəhə,wəxə,,,Norman 1978: 306,vəxə,vəxə,vɘɣɘ,,,Li 1986: 144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hisəkɒːn,hisəkɒːn,,stone-DIM,,,iːha,iːhɒ,,,,,ihə,ihə,,,,,,,,,,,,,,,,,,,,,
bitter,gošo,gošo,gošo,goʃo,,,Kane 1989: 180,gosihon,gosihon,ɢosjiχon,miserable,,Norman 1978: 113,ɢoɕχun,ɢoshun,ɢosxun,,,Li 1986: 163,gɔɕikuli,gočikuli,koɕiqhuli,,,Zhang et al. 1989: 122,gotìsì,gotịsị,ɢotɪsjɪ,,,Sunik 1958: 169,gočísi,gočịsi,ɢoʧesji,,,Sem 1976: 149,gočisī,gočeseː,ɢwoʧeseː,,,Onenko 1980: 117,got-úlí,got-ole,gotole,,bitter-ADJ,Sunik 1985: 185,gočč-uuli,gočč-uːli,ɢɔʧːuːli,,bitter-ADJ,Ikegami 1997: 71,guaci,guaci,guaʦi,,,Girfanova 2001: 90,gotisi,gotisi,gɔtisji,,,"Avrorin, Lebedeva 1978: 174",gʊʃɪ-ddɪ,gụše-dde,gʊsɛdːe,,bitter-ADJ,Hu and Chaoke 1986: 189,gʊtɪɪ,gụteː,gʊteː,,,Hu 1986: 206,,,,,,,gèči-pču ~ gèty-pču ~ gèty-gdy,gəči-pču ~ gəty-pču ~ gəty-gdy,gəʧɨpʧʉ ~ gətɨpʧʉ ~ gətɨɣdɨ,,bitter-ADJ,Vasilevich 1958: 101,,,,,,,,,,,,,,,,,,,,,,,,,goti.gdi ,goti.gdi ,gotigdi ,sour,bitter.ADJ,Cincius 1982: 205,got,gọt,goˁt,,,Novikova 1980: 167
